"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Group Policy Creator Owners",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-520","","Members in this group can modify group policy for the domain","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Group Policy Creator Owners,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Group Policy Creator Owners"
"MSOIT",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-8243","","IT and App Support","3/17/2020 2:55:35 PM","5/19/2021 4:19:12 PM","CN=MSOIT,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/MSOIT"
"P-SQL-MDT SQLEXPRESS_Read",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-7656","","MDT SQLEXPRESS Read Access","7/25/2019 4:52:31 PM","5/19/2021 4:19:12 PM","CN=P-SQL-MDT SQLEXPRESS_Read,OU=Permissions,OU=Groups,OU=MDT,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MDT/Groups/Permissions/P-SQL-MDT SQLEXPRESS_Read"
"Remote Desktop Users",,"Security","DomainLocal","","S-1-5-32-555","","Members in this group are granted the right to logon remotely","7/11/2011 12:29:37 PM","5/19/2021 4:18:52 PM","CN=Remote Desktop Users,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Remote Desktop Users"
"AppTeam",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-8242","","Application Support Distro group","3/17/2020 2:45:17 PM","5/19/2021 4:19:12 PM","CN=AppTeam,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/AppTeam"
"P-SHR-MDT DeploymentShare_Read",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-7655","","MDT DeploymentShare Read Access","7/25/2019 4:52:10 PM","5/19/2021 4:19:12 PM","CN=P-SHR-MDT DeploymentShare_Read,OU=Permissions,OU=Groups,OU=MDT,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MDT/Groups/Permissions/P-SHR-MDT DeploymentShare_Read"
"MSO VPN RDS Default",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8244","","VPN Default Access to RDS 2016","3/18/2020 9:58:28 AM","10/4/2021 7:29:49 AM","CN=MSO VPN RDS Default,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/MSO VPN RDS Default"
"RDS Endpoint Servers",,"Security","DomainLocal","","S-1-5-32-576","","Servers in this group run virtual machines and host sessions where users RemoteApp programs and personal virtual desktops run. This group needs to be populated on servers running RD Connection Broker. RD Session Host servers and RD Virtualization Host servers used in the deployment need to be in this group.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=RDS Endpoint Servers,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/RDS Endpoint Servers"
"P-SQL-MDT_Admin",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-7150","","SQL Administrator perm on MSOITMDT01\SQLEXPRESS","7/25/2019 4:04:38 PM","5/19/2021 4:19:08 PM","CN=P-SQL-MDT_Admin,OU=Permissions,OU=Groups,OU=MDT,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/MDT/Groups/Permissions/P-SQL-MDT_Admin"
"MSO Pulse Secure Client",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8245","","VPN Access to Pulse Realm for Pulse Secure Client","3/18/2020 10:03:11 AM","5/19/2021 4:19:17 PM","CN=MSO Pulse Secure Client,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/MSO Pulse Secure Client"
"Sharecare VPN User",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-7205","","","9/19/2019 10:11:15 AM","5/19/2021 4:19:10 PM","CN=Sharecare VPN User,OU=Sharecare,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/Sharecare/Sharecare VPN User"
"MSO COVID19 RDS 2016 REPORTS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8676","","","3/19/2020 4:07:04 PM","9/27/2021 3:26:56 PM","CN=MSO COVID19 RDS 2016 REPORTS,OU=VPN REPORTS,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/VPN REPORTS/MSO COVID19 RDS 2016 REPORTS"
"Optumcarecancercare",,"Distribution","Universal","USON IT","S-1-5-21-2571279217-2041782082-3149958405-8677","","","3/20/2020 11:19:58 AM","9/17/2021 10:24:17 AM","CN=Optumcarecancercare,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Optumcarecancercare"
"MTS_USON_TEST",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4619","","Users that have access to USON test","5/14/2014 1:12:09 PM","8/16/2021 8:02:55 AM","CN=MTS_USON_TEST,OU=MTS_USON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_USON/MTS_USON_TEST"
"MSO VPN REPORTS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8682","","","3/25/2020 10:59:11 AM","5/19/2021 4:19:15 PM","CN=MSO VPN REPORTS,OU=VPN REPORTS,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/VPN REPORTS/MSO VPN REPORTS"
"USON C-SUITE",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3232","","","8/23/2012 8:25:45 AM","5/19/2021 4:19:03 PM","CN=USON C-SUITE,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON C-SUITE"
"RDS Management Servers",,"Security","DomainLocal","","S-1-5-32-577","","Servers in this group can perform routine administrative actions on servers running Remote Desktop Services. This group needs to be populated on all servers in a Remote Desktop Services deployment. The servers running the RDS Central Management service must be included in this group.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=RDS Management Servers,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/RDS Management Servers"
"SQLServer2005SQLBrowserUser$USONVSVRDC",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-2106","","Members in the group have the required access and privileges to be assigned as the log on account for the associated instance of SQL Server Browser in SQL Server 2005.","8/10/2011 2:05:30 AM","5/19/2021 4:19:03 PM","CN=SQLServer2005SQLBrowserUser$USONVSVRDC,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/SQLServer2005SQLBrowserUser$USONVSVRDC"
"JBE Acronis",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8794","","","8/5/2020 4:00:08 PM","5/19/2021 4:19:14 PM","CN=JBE Acronis,OU=SYSTEMS ACCOUNTS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/SYSTEMS  ACCOUNTS/JBE Acronis"
"TEST VPN GROUP",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8248","","","3/25/2020 1:22:56 PM","10/4/2021 7:29:26 AM","CN=TEST VPN GROUP,OU=Test Users,OU=Test Environment,DC=USON,DC=LOCAL","USON.LOCAL/Test Environment/Test Users/TEST VPN GROUP"
"OMP MA",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5216","","","11/2/2016 10:55:28 AM","6/8/2021 12:11:20 PM","CN=OMP MA,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OMP MA"
"Hyper-V Administrators",,"Security","DomainLocal","","S-1-5-32-578","","Members of this group have complete and unrestricted access to all features of Hyper-V.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=Hyper-V Administrators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Hyper-V Administrators"
"ABAdmins",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8795","","Acronis Admin Group","8/5/2020 4:06:25 PM","5/19/2021 4:19:26 PM","CN=ABAdmins,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/ABAdmins"
"SQLServer2005MSSQLServerADHelperUser$USONVSVRDC",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-2107","","Members in the group have the required access and privileges to be assigned as the log on account for the associated instance of SQL Server Active Directory Helper in SQL Server 2005.","8/10/2011 2:05:30 AM","5/19/2021 4:19:03 PM","CN=SQLServer2005MSSQLServerADHelperUser$USONVSVRDC,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/SQLServer2005MSSQLServerADHelperUser$USONVSVRDC"
"USON VPN USERS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-2087","","VPN Access Default","7/27/2011 2:14:00 PM","5/19/2021 4:19:12 PM","CN=USON VPN USERS,OU=Pulse VPN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/Pulse VPN/USON VPN USERS"
"USON SCHEDULING",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2078","","","7/27/2011 1:43:49 PM","9/24/2021 3:42:43 PM","CN=USON SCHEDULING,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON SCHEDULING"
"AGPM Editors",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8800","","","8/6/2020 10:49:56 AM","9/24/2021 2:02:24 PM","CN=AGPM Editors,OU=AGPM,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/AGPM/AGPM Editors"
"Cloneable Domain Controllers",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-522","","Members of this group that are domain controllers may be cloned.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=Cloneable Domain Controllers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Cloneable Domain Controllers"
"SQLServer2005MSSQLUser$USONVSVRDC$SQLEXPRESS",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-2108","","Members in the group have the required access and privileges to be assigned as the log on account for the associated instance of SQL Server and SQL Server FullText Search in SQL Server 2005.","8/10/2011 2:05:30 AM","5/19/2021 4:19:03 PM","CN=SQLServer2005MSSQLUser$USONVSVRDC$SQLEXPRESS,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/SQLServer2005MSSQLUser$USONVSVRDC$SQLEXPRESS"
"FSLgx_PDFStudio11_USON_Mgmt",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8716","","","4/23/2020 10:34:33 AM","5/19/2021 4:19:12 PM","CN=FSLgx_PDFStudio11_USON_Mnmgt,OU=PDFStudio11,OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/FSLogix/AppLockdown/PDFStudio11/FSLgx_PDFStudio11_USON_Mnmgt"
"USON FACEBOOK INFO",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5332","","USON Facebook page email for customers to email in. Forwards to Lisa K.","3/20/2017 11:25:04 AM","5/19/2021 4:19:03 PM","CN=USON FACEBOOK INFO,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/USON FACEBOOK INFO"
"Access Control Assistance Operators",,"Security","DomainLocal","","S-1-5-32-579","","Members of this group can remotely query authorization attributes and permissions for resources on this computer.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=Access Control Assistance Operators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Access Control Assistance Operators"
"AGPM Viewers",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8801","","","8/6/2020 10:50:55 AM","9/24/2021 2:02:24 PM","CN=AGPM Viewers,OU=AGPM,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/AGPM/AGPM Viewers"
"Exchange Enterprise Servers",,"Security","DomainLocal","","S-1-5-21-2571279217-2041782082-3149958405-1113","","Microsoft Exchange Enterprise Servers group -- DO NOT move or rename","7/11/2011 2:59:16 PM","5/19/2021 4:19:03 PM","CN=Exchange Enterprise Servers,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Exchange Enterprise Servers"
"FSLgx_PDFStudio11_Access",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8713","","Grants Access to PDFStudio11 with FSLogix","4/23/2020 10:31:14 AM","5/19/2021 4:19:12 PM","CN=FSLgx_PDFStudio11_Access,OU=PDFStudio11,OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/FSLogix/AppLockdown/PDFStudio11/FSLgx_PDFStudio11_Access"
"Test Distro",,"Distribution","Universal","Dax Dabel","S-1-5-21-2571279217-2041782082-3149958405-3887","","","10/16/2014 11:47:51 AM","5/19/2021 4:19:03 PM","CN=Test Distro,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Test Distro"
"AGPM Admin",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8803","","","8/6/2020 4:37:12 PM","9/24/2021 2:02:07 PM","CN=AGPM Admin,OU=AGPM,OU=Administrator Groups,OU=Administrator Accounts,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/Administrator Accounts/Administrator Groups/AGPM/AGPM Admin"
"Remote Management Users",,"Security","DomainLocal","","S-1-5-32-580","","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=Remote Management Users,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Remote Management Users"
"MTS_NextGen_NoPrinting",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4607","","","7/17/2013 1:22:55 PM","5/19/2021 4:19:03 PM","CN=MTS_NextGen_NoPrinting,OU=MTS_2xUSON,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_2xUSON/MTS_NextGen_NoPrinting"
"FSLgx_PDFStudio11_MSO_Anesth_Billing",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8719","","","4/23/2020 10:36:06 AM","5/19/2021 4:19:12 PM","CN=FSLgx_PDFStudio11_MSO_Anesth_Billing,OU=PDFStudio11,OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/FSLogix/AppLockdown/PDFStudio11/FSLgx_PDFStudio11_MSO_Anesth_Billing"
"USON LOCAL ADMIN",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5164","","Local Admin rights for special case users","9/13/2016 2:08:02 PM","9/23/2021 1:48:22 PM","CN=USON LOCAL ADMIN,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON LOCAL ADMIN"
"VPN JBE SUPPORT",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-9237","","","8/13/2020 7:56:08 AM","8/17/2021 10:02:27 AM","CN=VPN JBE SUPPORT,OU=JBE ROCNV SUPPORT,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/JBE ROCNV SUPPORT/VPN JBE SUPPORT"
"Protected Users",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-525","","Members of this group are afforded additional protections against authentication security threats. See http://go.microsoft.com/fwlink/?LinkId=298939 for more information.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=Protected Users,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/Protected Users"
"USON MBAM READ ONLY",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-5157","","","8/31/2016 10:22:18 AM","5/19/2021 4:19:03 PM","CN=USON MBAM READ ONLY,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON MBAM READ ONLY"
"FSLgx_PDFStudio11_MSO_MedRec",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8718","","","4/23/2020 10:35:37 AM","5/19/2021 4:19:14 PM","CN=FSLgx_PDFStudio11_MSO_MedRec,OU=PDFStudio11,OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/FSLogix/AppLockdown/PDFStudio11/FSLgx_PDFStudio11_MSO_MedRec"
"Medical Records Voicemail",,"Distribution","Universal","IT SUPPORT","S-1-5-21-2571279217-2041782082-3149958405-5116","","","5/11/2016 10:55:31 AM","9/17/2021 9:55:44 AM","CN=Medical Records Voicemail,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/Medical Records Voicemail"
"USON SUPERVISORS FOLDER",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8805","","","8/19/2020 8:16:28 AM","8/26/2021 8:56:29 AM","CN=USON SUPERVISORS FOLDER,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON SUPERVISORS FOLDER"
"Storage Replica Administrators",,"Security","Global","","S-1-5-32-582","","Members of this group have complete and unrestricted access to all features of Storage Replica.","9/7/2019 9:14:43 PM","5/19/2021 4:18:52 PM","CN=Storage Replica Administrators,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Storage Replica Administrators"
"USON AUTOLOGON",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-4119","","","6/9/2013 10:05:33 AM","5/19/2021 4:19:03 PM","CN=USON AUTOLOGON,OU=TO BE DELETED,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/TO BE DELETED/USON AUTOLOGON"
"FSLgx_PDFStudio11_ORTHO_Billing",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8717","","","4/23/2020 10:35:01 AM","9/27/2021 3:26:09 PM","CN=FSLgx_PDFStudio11_ORTHO_Billing,OU=PDFStudio11,OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/FSLogix/AppLockdown/PDFStudio11/FSLgx_PDFStudio11_ORTHO_Billing"
"NVCSMAVM",,"Distribution","Universal","USON IT","S-1-5-21-2571279217-2041782082-3149958405-5205","","","10/19/2016 1:32:37 PM","9/17/2021 9:56:31 AM","CN=NVCSMAVM,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/NVCSMAVM"
"USON SR AR",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8806","","","8/19/2020 9:54:41 AM","9/27/2021 3:27:36 PM","CN=USON SR AR,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON SR AR"
"Event Log Readers",,"Security","DomainLocal","","S-1-5-32-573","","Members of this group can read event logs from local machine","3/9/2013 7:44:47 PM","5/19/2021 4:18:52 PM","CN=Event Log Readers,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Event Log Readers"
"USON PAYMENT SUPERVISORS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3233","","","8/23/2012 8:28:24 AM","5/19/2021 4:19:03 PM","CN=USON PAYMENT SUPERVISORS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON PAYMENT SUPERVISORS"
"FSLgx_PDFStudio11_USON_Billing",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8715","","","4/23/2020 10:33:47 AM","5/19/2021 4:19:12 PM","CN=FSLgx_PDFStudio11_USON_Billing,OU=PDFStudio11,OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/FSLogix/AppLockdown/PDFStudio11/FSLgx_PDFStudio11_USON_Billing"
"MTS_OPT_DEVL",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3733","","Users that have access to OMP dev","2/19/2014 2:49:08 PM","9/21/2021 9:17:28 AM","CN=MTS_OPT_DEVL,OU=MTS_OPT,OU=MTS SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/MTS SECURITY GROUPS/MTS_OPT/MTS_OPT_DEVL"
"MTS Alerts All",,"Distribution","Universal","Dax Admin","S-1-5-21-2571279217-2041782082-3149958405-8815","","","9/16/2020 9:20:06 AM","9/27/2021 2:24:12 PM","CN=MTS Alerts All,CN=Users,DC=USON,DC=LOCAL","USON.LOCAL/Users/MTS Alerts All"
"Certificate Service DCOM Access",,"Security","DomainLocal","","S-1-5-32-574","","Members of this group are allowed to connect to Certification Authorities in the enterprise","3/9/2013 7:44:47 PM","5/19/2021 4:18:52 PM","CN=Certificate Service DCOM Access,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Certificate Service DCOM Access"
"Billing Voicemail",,"Distribution","Universal","USON IT DELEGATED AUTH","S-1-5-21-2571279217-2041782082-3149958405-5117","","","5/11/2016 10:57:07 AM","9/17/2021 9:52:56 AM","CN=Billing Voicemail,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/Billing Voicemail"
"FSLgx_PDFStudio11_USON_MA",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8714","","","4/23/2020 10:33:26 AM","8/3/2021 7:52:43 AM","CN=FSLgx_PDFStudio11_USON_MA,OU=PDFStudio11,OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/FSLogix/AppLockdown/PDFStudio11/FSLgx_PDFStudio11_USON_MA"
"USON SUPER BILLS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3148","","","1/3/2012 3:23:15 PM","5/19/2021 4:19:03 PM","CN=USON SUPER BILLS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON SUPER BILLS"
"NOUpdateServerWindowsUpdateGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8818","","","9/17/2020 9:39:08 AM","5/19/2021 4:19:14 PM","CN=NOUpdateServerWindowsUpdateGG,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV750 - Switch NAP7/Servers/NOUpdateServerWindowsUpdateGG"
"IIS_IUSRS",,"Security","DomainLocal","","S-1-5-32-568","","Built-in group used by Internet Information Services.","3/9/2013 7:44:46 PM","5/19/2021 4:18:52 PM","CN=IIS_IUSRS,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/IIS_IUSRS"
"USON PRIOR AUTH",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-3194","","","5/11/2012 2:54:54 PM","9/23/2021 2:14:54 PM","CN=USON PRIOR AUTH,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON PRIOR AUTH"
"USON IT KB ACCESS",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8721","","","4/27/2020 12:58:10 PM","9/27/2021 1:33:17 PM","CN=USON IT KB ACCESS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON IT KB ACCESS"
"IT SUPPORT",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2065","","USON General IT Support Notifications","7/27/2011 1:24:00 PM","9/27/2021 1:20:29 PM","CN=IT SUPPORT,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/IT SUPPORT"
"HAODDServerWindowsUpdateGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8819","","","9/17/2020 9:40:14 AM","5/19/2021 4:19:23 PM","CN=HAODDServerWindowsUpdateGG,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV750 - Switch NAP7/Servers/HAODDServerWindowsUpdateGG"
"Windows Authorization Access Group",,"Security","DomainLocal","","S-1-5-32-560","","Members of this group have access to the computed tokenGroupsGlobalAndUniversal attribute on User objects","7/11/2011 12:33:53 PM","5/19/2021 4:18:52 PM","CN=Windows Authorization Access Group,CN=Builtin,DC=USON,DC=LOCAL","USON.LOCAL/Builtin/Windows Authorization Access Group"
"IT ALERTS",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2064","","Network Monitoring Notifications","7/27/2011 1:23:39 PM","9/27/2021 12:20:07 PM","CN=IT ALERTS,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/IT ALERTS"
"FSLgx_PDFStudio11_ORTHO_Pt_Services",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-9197","","","4/27/2020 3:48:15 PM","5/19/2021 4:19:12 PM","CN=FSLgx_PDFStudio11_ORTHO_Pt_Services,OU=PDFStudio11,OU=AppLockdown,OU=FSLogix,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/FSLogix/AppLockdown/PDFStudio11/FSLgx_PDFStudio11_ORTHO_Pt_Services"
"USON BILLING",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2069","","","7/27/2011 1:39:05 PM","9/27/2021 3:21:52 PM","CN=OMS BILLING,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OMS BILLING"
"HAEVENServerWindowsUpdateGG",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-8820","","","9/17/2020 9:40:36 AM","5/19/2021 4:19:27 PM","CN=HAEVENServerWindowsUpdateGG,OU=Servers,OU=NV750 - Switch NAP7,OU=MSO,OU=NDA,DC=USON,DC=LOCAL","USON.LOCAL/NDA/MSO/NV750 - Switch NAP7/Servers/HAEVENServerWindowsUpdateGG"
